time,irvalue,redvalue
2025-03-02 00:34:32,29675,28786
2025-03-02 00:34:32,29622,28784
2025-03-02 00:34:32,29646,28790
2025-03-02 00:34:32,29664,28801
2025-03-02 00:34:32,29664,28796
2025-03-02 00:34:32,29672,28770
2025-03-02 00:34:32,29666,28781
2025-03-02 00:34:32,29673,28770
2025-03-02 00:34:33,29676,28785
2025-03-02 00:34:33,29683,28784
2025-03-02 00:34:33,29690,28800
2025-03-02 00:34:33,29705,28807
2025-03-02 00:34:33,29695,28826
2025-03-02 00:34:33,29700,28806
2025-03-02 00:34:33,29630,28759
2025-03-02 00:34:33,29634,28758
2025-03-02 00:34:33,29641,28780
2025-03-02 00:34:33,29669,28782
2025-03-02 00:34:33,29669,28794
2025-03-02 00:34:33,29669,28792
2025-03-02 00:34:33,29681,28807
2025-03-02 00:34:34,29689,28796
2025-03-02 00:34:34,29687,28778
2025-03-02 00:34:34,29687,28774
2025-03-02 00:34:34,29683,28777
2025-03-02 00:34:34,29696,28780
2025-03-02 00:34:34,29704,28788
2025-03-02 00:34:34,29693,28781
2025-03-02 00:34:34,29643,28769
2025-03-02 00:34:34,29647,28769
2025-03-02 00:34:34,29647,28759
2025-03-02 00:34:34,29645,28761
2025-03-02 00:34:34,29649,28751
2025-03-02 00:34:35,29650,28782
2025-03-02 00:34:35,29661,28782
2025-03-02 00:34:35,29659,28783
2025-03-02 00:34:35,29669,28790
2025-03-02 00:34:35,29692,28785
2025-03-02 00:34:35,29701,28782
2025-03-02 00:34:35,29701,28764
2025-03-02 00:34:35,29644,28738
2025-03-02 00:34:35,29609,28758
2025-03-02 00:34:35,29627,28770
2025-03-02 00:34:35,29637,28767
2025-03-02 00:34:35,29643,28772
2025-03-02 00:34:35,29651,28773
2025-03-02 00:34:36,29662,28764
2025-03-02 00:34:36,29655,28756
2025-03-02 00:34:36,29672,28751
2025-03-02 00:34:36,29679,28761
2025-03-02 00:34:36,29689,28770
2025-03-02 00:34:36,29693,28776
2025-03-02 00:34:36,29693,28786
2025-03-02 00:34:36,29690,28769
2025-03-02 00:34:36,29616,28735
2025-03-02 00:34:36,29613,28731
2025-03-02 00:34:36,29602,28744
2025-03-02 00:34:36,29632,28747
2025-03-02 00:34:37,29640,28757
2025-03-02 00:34:37,29646,28769
2025-03-02 00:34:37,29668,28770
2025-03-02 00:34:37,29671,28763
